0.87,0.09,3.03,4.71
0.05,0.34,-1.5,1.61
0.06,0.08,-0.16,0.62
0.7,0.5,0.3,5.5
0.96,0.49,1.39,6.76
0.9,0.08,3.2,4.82
0.85,0.97,-1.45,8.13
0.94,0.24,2.56,5.66
0.51,0.92,-2.56,6.23
0.59,0.44,0.16,4.71
0.61,0.36,0.64,4.49
0.92,0.55,0.93,6.8
0.69,0.67,-0.59,6.13
0.35,0.77,-2.45,4.83
0.19,0.18,-0.14,1.67
0.58,0.81,-1.73,6.14
0.57,0.04,2.08,3.01
0.07,0.81,-3.77,3.59
0.02,0.01,0.03,0.14
0.59,0.77,-1.49,6.03
0.08,1.0,-4.68,4.4
0.9,0.99,-1.35,8.46
0.81,0.49,0.79,6.01
0.41,0.13,0.99,2.57
0.25,0.98,-3.9,5.17
0.22,0.85,-3.37,4.5
0.61,0.19,1.49,3.81
0.85,0.13,2.75,4.77
0.09,0.84,-3.84,3.81
0.64,0.77,-1.29,6.28
